genome_id	genus	species	original_status_I30	risk_category_curated	action	A1_risk	A2_risk	A3_risk	A4_risk	curation_note
Prob312_Shouchella_clausii_ATCC_700160	Shouchella	Shouchella clausii	Safety-review	recoverable_taxon_prior_or_fermentation_niche_release	release_to_priority_if_no_non_overrideable_risk	0.1136363636363636	0.0	0.1772727272727272	0.2730769230769231	Risk categories are expert-review aids. Only release-table rows alter status.
Prob314_Escherichia_coli_C18	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	1.0	0.7467532467532467	0.7656363636363637	0.8615384615384615	Risk categories are expert-review aids. Only release-table rows alter status.
Prob315_Escherichia_coli_C23	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	1.0	0.7402597402597403	0.6838181818181819	0.9480769230769232	Risk categories are expert-review aids. Only release-table rows alter status.
Prob316_Escherichia_coli_C48	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	1.0	0.7272727272727273	0.7247272727272728	1.0	Risk categories are expert-review aids. Only release-table rows alter status.
Prob317_Bacillus_licheniformis_B4	Bacillus	Bacillus licheniformis	Safety-review	recoverable_taxon_prior_or_fermentation_niche_release	release_to_priority_if_no_non_overrideable_risk	0.1363636363636363	0.0	0.1681818181818181	0.4057692307692307	Risk categories are expert-review aids. Only release-table rows alter status.
Prob323_Escherichia_coli_ATCC_11303	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	0.9772727272727272	0.525974025974026	0.6020000000000001	0.7692307692307693	Risk categories are expert-review aids. Only release-table rows alter status.
Prob324_Escherichia_coli_ATCC_35150	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	0.9772727272727272	1.0	0.952	0.9272727272727274	Risk categories are expert-review aids. Only release-table rows alter status.
Prob326_Bacillus_paranthracis_MHSD3	Bacillus	Bacillus paranthracis	Safety-review	true_safety_review	retain_current_non_priority	0.1136363636363636	0.0779220779220779	0.4454545454545454	0.3723776223776224	Risk categories are expert-review aids. Only release-table rows alter status.
Prob327_Escherichia_coli_C49	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	1.0	0.6493506493506493	0.6656363636363637	0.5365384615384615	Risk categories are expert-review aids. Only release-table rows alter status.
Prob333_Enterococcus_faecalis_ES1	Enterococcus	Enterococcus faecalis	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.4090909090909091	0.1558441558441558	0.364	0.5232517482517484	Risk categories are expert-review aids. Only release-table rows alter status.
